artist_name|title|release|track_id|start_of_fade_out|duration|year|artist_location
Ec8or|Cocain Ducks|Ec8or|TRAADRN128F932D607|213.496|217.23383|1995|Berlin, Germany
The New York Dolls|Human Being|Too Much Too Soon|TRAADVH128EF34DE7A|335.029|344.05832|1974|New York, NY
Eliane Elias|The More I See You|Bossa Nova Stories|TRAADYB128F92D7E73|237.598|251.42812|2009|Sao Paulo, Brazil
Lost Boyz|Certain Things We Do|Love_ Peace & Nappiness|TRAADYI128E078FB38|257.416|269.7922|1997|South Jamaica, Queens
The Germs|Forming|Germicide|TRAAEAM128F934B199|206.053|206.05342|1977|Los Angeles, CA
Chris Rea|Driving Home For Christmas|The Road To Hell Part 2|TRAAEEH128E0795DFE|230.342|241.162|1986|Middlesbrough, England
Perrey And Kingsley|Spooks In Space|Vanguard Visionaries|TRAAELO128F9302DD1|109.627|122.64444|1966|
Francis Dunnery|Too Much Saturn|Hometown 2001|TRAAENC128F1451DE9|298.347|300.79955|1995|Egremont, Cumbria, England
John Cale|Movement 4 [from Kiss] (Album Version)|Eat / Kiss: Music For The Films By Andy Warhol|TRAAENP128F147BF32|228.466|228.46649|1997|Garnant, Wales
Suzanne Ciani|Stream|The Ultimate Most Relaxing New Age Piano in the Universe|TRAAEOU128F9309DE0|236.507|239.59465|0|California - SF
Vickie Winans|Make Me Over|Classic Gold: Best of All|TRAAERU128F930674F|219.574|228.93669|0|
The Berzerker|Deform (live)|The Berzerker|TRAAEUB12903CDD3EA|165.616|165.61587|2000|Melbourne, Australia
Kings Of Leon|Wicker Chair|Holy Roller Novocaine|TRAAEWG128F930B3A4|180.344|187.92444|2003|Nashville, Tennessee
Taras|I Will Love Again (JJ's Club Radio)|I Will Love Again|TRAAFEB128F92F8694|194.844|200.25424|0|
NOFX|Stickin In My Eye|White Trash ......|TRAAFJW128F428A424|140.057|144.50893|1992|Berkeley, CA
Murskahumppa|Ota kiinni|Murskapunkkia|TRAAFKJ12903D02552|275.853|285.17832|0|
Bruce Rowland|Rosemary Recalls|The Man from Snowy River|TRAAFON128F42926FB|75.79|84.03546|1985|AUSTRALIA
Xcultures|Sudanese Dance|One World One People|TRAAFRU128F9339158|268.893|273.52771|2000|
White Heart|Where The Thunder Roars (Tales Of Wonder Album Version)|Tales Of Wonder|TRAAFSM128F425A2C5|289.46|298.84036|0|
Heavy D / McGruff|Wanna Be A Player|Waterbed Hev|TRAAFUJ128F933F42B|161.384|161.38404|1997|Jamaica, West Indies
Van Halen|Panama (Remastered Album Version)|The Best Of Both Worlds|TRAAFYL128E07856A7|206.623|209.29261|0|Pasadena, CA
Black Eyed Peas|Let's Get It Started|'Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness|TRAAGCZ128F93210FD|213.664|229.61587|2004|Los Angeles, CA
Nine Inch Nails|Metal|Things Falling Apart|TRAAGEC128E079252C|399.9|426.89261|2000|Cleveland, OH
Nick Cave & The Bad Seeds|She Fell Away (2009 Digital Remaster)|Your Funeral... My Trial (2009 Digital Remaster)|TRAAGGE128F9325E2C|262.798|269.26975|0|
Nadine Renee|Next Time|Oasis of Love|TRAAGHM128EF35CF8E|238.434|249.41669|0|
Lesley Gore|It's My Party|60's Triple set|TRAAGJV128F1464090|130.026|136.48934|1963|New York, NY
Smartbomb|Complicate It|Yeah.  Well_ Anyway....|TRAAGKF128F932D5A2|231.178|233.27302|2001|
Suburbs|Monde De Fou|Un Titre de Toune|TRAAGKQ128F92EAF39|178.625|187.24526|2005|Minnesota
Emperor|Opus a Satana (Part 2)|Live Inferno|TRAAGKS128F9314884|68.365|72.61995|0|Norway
Julien Clerc|This Melody (Live)|Vendredi 13 - 1981|TRAAGMJ12903CAD7D4|272.64|272.63955|0|FR
Glen Campbell|I'm Gone This Time|Unconditional Love|TRAAGNL128F4299BF1|135.546|142.75873|0|Delight, AR
T.G. Sheppard|You Feel Good All Over|The Very Best Of|TRAAGOH128F42593CE|182.729|194.11546|2002|Humboldt, TN
Slim Whitman|Indian Love Call|Country Lovers. Vol. 3|TRAAGPF12903CE027E|192.087|195.91791|1990|Tampa, FL
Savage Garden|You Can Still Be Free|Affirmation|TRAAGPH128F4273C8D|118.334|118.33424|1999|CA
Queens Of The Stone Age|I Never Came|Lullabies To Paralyze|TRAAGPJ128F428CD1B|279.179|288.41751|2005|
Hank Penny & The Lincoln Penny Orchestra|Dixie|It's War Again|TRAAGUA128F93236E8|118.079|123.21914|0|Birmingham, AL
Inspiral Carpets|Commercial Reign|The Singles|TRAAGVF128E0789785|271.83|283.76771|1990|Manchester, England
Borialis|Hourglass|What You Thought You Heard|TRAAGVM128E0784D95|220.264|239.3073|0|
The Dirty Skirts|Wake|Daddy Don't Disco|TRAAGXN128F92DE52C|193.115|206.75873|0|
Flor Silvestre|Caricia Y Herida|15 Exitos Vol. 2 Flor Silvestre|TRAAGZU128EF360F47|130.723|134.81751|0|
Redman|WKYA (drop)|Malpractice|TRAAHEG128E07861C3|121.005|124.18567|2001|Newark, NJ
Eddie Cantor|Now's The Time To Fall In Love|The Fabulous Eddie Cantor|TRAAHEQ128F93057B4|150.75|155.61098|0|New York, NY
Schizoid|Grim Prospects (Gross Prospects - Bad Trip Remix)|Grim Prospects Remixes - Grim Prospects Will Never End|TRAAHER128F92E3FE9|272.556|275.40853|0|
Kai Winding|Mangos|The Incredible Kai Winding Trombones|TRAAHJX128F9312B83|220.026|223.4771|1961|Aarhus, Denmark
Sonny Simmons|A Distant Voice|Staying on the Watch|TRAAHKE128F421389B|430.736|443.24526|0|Sicily Island, LA
Mira|Openbare Weg|Openbare Weg|TRAAHMO128F92DE7C9|167.48|177.81506|2006|Tallahassee, FL
Citizen Kaned|President Johnson|Tip World Singles 2000|TRAAHPZ12903CB4643|382.647|385.33179|2000|
The Brooklyn Tabernacle Choir|Lead Me Lord|Praise Him...Live!|TRAAHRF128F92FE234|312.239|324.44036|1995|
Ellen McIlwaine|Spontanous Combustion|Spontanous Combustion|TRAAHTH12903CCFFE1|272.933|275.12118|0|Nashville, TN
Vince Guaraldi / Bola Sete|Choro|From All Sides|TRAAHVY128F92E25D6|282.564|294.66077|0|San Francisco, CA
Maurice Chevalier|Ma Louise|Maurice Chevalier  The Essential Collection Vol 1|TRAAHXN128F9326097|190.003|193.20118|0|Menilmontant, France
Carl Cox Vs Yousef|I Want You (Forever)|Dave Pearce Best of the Dance Years 1988 - 1992|TRAAHYV128F932A425|353.785|357.82485|1991|
Organized Konfusion|Hate|The Equinox|TRAAHZP12903CA25F4|182.184|198.3473|1997|SPRINGFIELD, Virginia
Martina McBride|I Can't Stop Loving You|Timeless|TRAAIAE128F42AC53D|253.452|261.95546|2005|Medicine Lodge, KS
Horace Andy|Thank You Lord|Feel Good All Over: Anthology 1970-1976|TRAAIAN12903CFF16D|166.911|176.27383|1985|Kingston, Jamaica
Nazz|How Can You Call That Beautiful (Stewkey Vocal)|13th And Pine|TRAAIAX128F930531B|213.107|220.89098|0|
Tyrone Davis|Cheatin' In The Next Room|Call Tyrone|TRAAIBB12903CECB35|219.725|235.91138|0|Greenville, MS
Hot Tuna|Candy Man|Final Vinyl|TRAAIDY128F92CA454|231.3|239.59465|1971|San Francisco, CA
Richard Burton|I See The Boys Of Summer|Fifteen Poems By Dylan Thomas|TRAAIFG12903CB0BCB|165.216|171.49342|0|Pennsylvania
Rory Block|Three Is a Crowd|The Early Tapes 1975-1976|TRAAIGD12903CA2F3C|256.064|266.05669|0|New York, NY
Boyz II Men|On Bended Knee|Legacy|TRAAIHL128F92E6DDA|322.101|329.27302|1994|Philadelphia, PA
Howard Armstrong|My Four Reasons|Louie Bluie Film Soundtrack|TRAAIIE128F4288BB1|190.705|198.922|0|Dayton, TN
Donny Hathaway|Little Girl (LP Version)|Donny Hathaway|TRAAIII128F427D5D8|277.467|283.21914|1971|Chicago, IL
Miguel Gallardo|Eternamente Amame|Canciones De Amor De Miguel Gallardo|TRAAILM128F93480BB|230.742|238.68036|0|
DJ X-Change featuring DJ Joey A|Come Over|What up Detroit|TRAAIRG128F93265E8|178.503|184.31955|0|
Morel|Blue Taxi|Peterbilt Angel|TRAAIXN128F428027A|300.118|311.40526|0|Washington DC
Tony Joe White|I Want Love (Tween You & Me) (Album Version)|Homemade Ice-Cream|TRAAIXU128F4241E5C|151.551|162.53342|0|Goodwill, LA
Wolfmother|White Feather|White Feather|TRAAIYR12903CD290D|209.438|212.37506|2009|Sydney, Australia
The Roches|Christlike Roche|Can We Go Home Now|TRAAJAC128F148B530|328.986|338.33751|1995|New York City
Bob Margolin|You Rascal You|In North Carolina|TRAAJBU128F9326C02|121.702|126.51057|0|Boston, MA
Thomas Battenstein|Sympathy|Wintertime|TRAAJBU12903CE2831|182.323|205.58322|0|
Jupiter Rising|They Say (Album)|Electropop|TRAAJEK128F422F55A|184.274|193.4624|2007|
Dharma Bums|Simon's Folly|DUMB: 4-track cassette recordings (1987)|TRAAJEK12903CE351A|118.195|127.4771|0|
Saafir|Crawl Before You Ball (Album Version)|The Hit List|TRAAJJA12903CC518A|227.84|234.762|1999|
The Verve Pipe|Medicate Myself|Underneath|TRAAJJG128F4284B27|273.589|292.8322|2001|Lansing, MI
Bob Neuwirth|Biding Her Time|99 Monkeys|TRAAJJV128F42A2F99|230.429|241.10975|1990|New York
Marvin Sapp|More And More  (LP Version)|Nothing Else Matters|TRAAJMH128E0785407|267.906|270.68036|0|Grand Rapids, MI
James Hunter|Cowboy Ways|A Tribute to The American Horse|TRAAJNM12903CF4750|178.463|188.73424|0|Austin
Mish Mash|Kolomeyke|Mish Mash_ Le Blues European: Musique Slave Et Klezmer|TRAAJVJ128F42570AD|249.858|254.32771|0|
Cama|In This Life|In this Life|TRAAJXQ128F92E65BF|201.497|210.36363|2009|
Maxi Priest|Groovin' In The Midnight|Best Of Maxi Priest|TRAAJYX128F4255568|289.332|301.81832|1991|Great Britain / UK
Porcupine Tree|Waiting|Signify (Special Edition)|TRAAKAS128F4246013|396.533|416.80934|1997|
Ragheb Alama|A'chek Ouyounik (2009 Digital Remaster)|Bravo Alayki Rare recording|TRAAKAV128F931BE25|408.503|413.36118|0|
Foo Fighters|Hell|In Your Honor|TRAAKDF128F92FA302|114.712|117.002|2005|Seattle, WA
Shakira Featuring Wyclef Jean|Hips Don't Lie (featuring Wyclef Jean)|Essential R&B Hit Selection|TRAAKDG128F42A0ECB|212.161|217.36444|0|Barranquilla, Colombia
Robben Ford|I Got Over It (Album Version)|Talk To Your Daughter|TRAAKNS12903CC5198|182.921|203.98975|1988|Ukiah, CA
Brazilian Tropical Orchestra|One Less Bell To Answer|American Songbook - Bacharach|TRAAKQS128F4224DE1|178.66|192.44363|0|
Xmilk|Sense And Trick|Scarcity|TRAAKVA128F934E69E|119.705|123.66322|0|
Dolce; Oscar G.|Fire (Oscar G Space Vocal Mix)|Fire|TRAAKVD12903CE8474|513.724|525.16526|0|Oklahoma
Britt Nicole|Hanging On (Medium Key Performance Track Without Background Vocals)|Hanging On (Premiere Performance Plus Track)|TRAAKVZ12903D074BB|193.562|204.06812|0| NC
Schizoid|Grim Prospects (Version 2 Remix)|Grim Prospects Remixes - Prospects Are Getting Grimmer|TRAAKXN128F92E71B1|162.366|166.00771|0|
Toni Braxton Featuring Shaggy|Christmas In Jamaica|Snowflakes|TRAALCM128F4264370|203.233|219.01016|2001|Severn, MD
Perrey And Kingsley|Gossippo Perpetuo|The Out Sound From Way In!|TRAALDU128F930D56B|123.222|127.9473|2001|
Sven Tasnadi|2190 Dias Contigo|El Fuego De Dentro|TRAALEO128F42A7AEA|538.372|570.90567|0|
Eddie|No Control|No Control|TRAALHD12903D0BD6A|226.708|230.00771|0|
Enthroned|The Vitalized Shell|Pentagrammaton|TRAALNG12903D014E9|240.744|240.74404|2010|Belgica -- Namur, Namur/Ghent, East Flanders
Suzanne Ciani|Mozart|Pianissimo|TRAALRZ128F429024E|183.229|192.20853|1989|California - SF
Milan Band|Ciao Milan|Milan Milan|TRAALSV128F4282B9B|143.871|152.0322|0|
Johnny Osbourne|Lend Me Your Chopper|Auralux Reggae Showcase|TRAALUX12903CFD50B|208.376|215.30077|2004|
Dolly Parton|Letter To Heaven|Heaven|TRAALZC128F92E11A6|147.673|155.21914|1971|Locust Ridge, TN
Rance Allen Group|Heaven is Where The Heart Is|Up Above My Head|TRAALZN128F932D457|192.447|207.12444|0|Detroit, MI
Pearl Jam|Inside Job|Pearl Jam|TRAAMES128F42AF068|414.697|428.56444|2006|Seattle, WA
Natalie Cole|Take A Look  (LP Version)|Take A Look|TRAAMFG128F92FDEA2|174.556|185.7824|0|Los Angeles, CA
Mastodon|The Czar: Usurper/Escape/Martyr/Spiral (Album Version)|Crack The Skye|TRAAMFT128F93128AD|638.462|654.28853|2009|Atlanta, GA
Word|Amalgama|Matumago X Press|TRAAMII128F933B583|222.285|229.51138|0|
DJ Quik|Born and Raised In Compton|The Best of DJ Quik - Da Finale|TRAAMJY128F92F5919|202.931|205.58322|1991|Compton CA
Hank Locklin|We're Gonna Go Fishin'|RCA Country Legends|TRAAMKI128F428537A|114.724|127.05914|0|McLellan, FL
BT|Robbers Kill Cop|LOOK (Original Motion Picture Soundtrack)|TRAAMKL128F9347D8A|44.355|44.35546|0|Earth
2-4 Grooves feat. Reki D.|Relax|Relax|TRAAMKP12903CC74F4|195.117|203.83302|2009|
The Jordanaires|Sweet By And By|Joy In Our Hearts - The Gospel Side Of The Jordanaires|TRAAMKW128F4249CF0|165.535|176.50893|0|Springfield, MO
Descendents|Orgofart|Enjoy!|TRAAMPA128F92E7D0D|135.285|140.66893|1986|Los Angeles, CA
L.A. Guns|Bitch Is Back|A Nite On The Strip - Live|TRAAMSO128EF348DCC|201.09|201.09016|1988|katy
Bare Jr.|Naked Albino|Boo-Tay|TRAAMXP128F4264F6A|236.141|254.79791|1998|
Shelley Fabares|Johnny Loves Me (LP Version)|The Best Of Shelley Fabares [Digital Version]|TRAAMYQ128F148B753|133.724|143.0722|0|Santa Monica, CA
Norrie Paramor|Dearly Beloved|In London_ In Love|TRAAMZB12903CAB002|156.212|163.49995|0|England
Gary Hobbs|The Look Of Love|Of My Times|TRAAMZR128F9315DCC|286.18|289.64526|0|
Diesel Boy|Cooler Than You|Venus Envy|TRAANBH128F9345A6C|122.015|124.15955|1998|Santa Rosa, California
Angelo Badalamenti|Taryns Deepest Fear|Freddy's Favorites: The Best of A Nightmare On Elm Street|TRAANKK128F42531BC|163.149|167.3922|0|New Jersey
Cradle Of Filth|Summer Dying Fast|Bitter Suites to Succubi|TRAANLO128F422AE37|312.761|321.35791|1994|
Jim Chappell|Still|Manila Nights|TRAANLZ128F934EC42|248.123|263.94077|0|United States
Ladybug|Snapshot|Snapshot|TRAANMF12903CEAFEF|324.679|341.36771|0|NY - New York City
Bandido|End Of The Road (Head Horny\x19s Remix)|End Of The Road - Single|TRAANRI12903CD0A9C|317.719|333.13914|0|
Brixx|7 Miles|7 Miles|TRAANTD128F9323B23|338.506|349.12608|0|
Nine Inch Nails|The Frail|Things Falling Apart|TRAANTZ128E0792529|159.637|168.56771|1999|Cleveland, OH
Leland Martin|Stone Cold Fingers (Bonus Track)|Leland Martin|TRAAOEH128F426A82F|167.358|175.62077|0|Blandford, MA
Test Icicles|Snowball|For Screening Purposes Only|TRAAOIN128F9303790|185.289|190.24934|2005|
Heaven 17|(We Don't Need This) Fascist Groove Thang|Endless|TRAAOJI128F1458DCD|248.337|255.16363|1981|London, England
React|Drunk Alone|'That Which Does Not Kill You...Can Only Make You Stronger : Three Way Split|TRAAOPW128F428AE31|116.013|120.2673|0|
Sven Tasnadi|Charisma|Break The Night|TRAAORY128F934984F|508.54|557.26975|0|
Mance Lipscomb|Going Down Slow|Texas Songster|TRAAOTD128F42322FC|180.355|187.53261|2000|Navasota, TX
Scott Wesley Brown|All Rise|The Scott Wesley Brown Collection: A Library of 35 Favorite Songs|TRAAOTT128F14AE002|290.65|295.60118|0|Atlanta Georgia USA
Moss|Silent Hill|Never Be Scared / Don't Be A Hero|TRAAOXM12903CFB3B0|316.883|329.35138|2009|
Pery Ribeiro|Our Love Is Here To Stay|S'Wonderful Movie'n Bossa|TRAAOYG128F9314996|171.648|180.00934|0|
Soular|Everything Changes|Time and Space|TRAAPCC128F42519A7|227.794|244.45342|0|Oregon
Dimmu Borgir|Master Of Disharmony|Death ... Is just the beginning Vol.4|TRAAPFQ128F42684DB|275.522|282.53995|1996|Oslo, Norway
Public Image Ltd|(This Is Not A) Love Song (Live)|Live In Tokyo|TRAAPGF128F1458F8B|383.994|388.28363|1983|London, England
Gary Moore|What Are We Here For|Dark Days In Paradise|TRAAPIV128F1493132|339.754|345.93914|1997|Belfast, Northern Ireland
Pascal Sangla|Une petite pause|Une petite pause|TRAAPLS12903CB2D40|235.886|243.1473|2010|
The B-52's|Wig|The B52's|TRAAPPQ128F14961F5|250.921|261.74649|1986|Athens, GA
Dakis|Perasmena Mesanihta|Moments|TRAAPQQ128F427C750|165.727|172.25098|0|
Sex Pistols|God Save the Queen (Live)|Punk International|TRAAPSQ12903CAE86A|214.192|216.60689|1988|
Chris Brown|Forever|Forever|TRAAPVV128F425D64C|353.913|363.59791|0|Fairfax, California
Deekline & Wizard|Sun Is Shining|Breaks_ Beats & Blondes|TRAAPWD128F931ACD4|267.761|271.77751|2004|
Hem|Have Yourself A Merry Little Christmas|Peace At Last - EP|TRAAQBF12903CF796B|117.661|133.27628|2005|NY - New York City
Lily Allen|U Killed It|Alright_ Still (Deluxe)|TRAAQCK128F92E8C33|251.141|264.69832|2006|LDN
Pentangle|Rain And Snow|Light Flight - The Anthology|TRAAQDJ128F92F95E0|223.37|228.51873|0|
DJ Dips|Gerra De De|This DJ|TRAAQDL12903CA8FB5|233.465|240.3522|0|
Ana Bekuta|Kako mi je pitas sad|Zlatni hitovi '90 1|TRAAQEV12903CB5459|140.527|145.57995|0|
Jason Miles|Voices On The Corner|Miles To Miles|TRAAQFC128F425ED83|235.807|235.80689|0|NY - New York City
Busdriver|(Bloody Paw On The) Kill Floor|RoadKillOvercoat|TRAAQIH128F428BDEA|192.182|192.1824|2007|
Byther Smith|I Wish My Mother Was Here|Addressing The Nation With The Blues|TRAAQLE128F424AE71|411.481|418.87302|1989|Monticello, MS
Bebo & Cigala|Inolvidable|Lagrimas Negras|TRAAQLJ128F428E870|193.782|198.26893|2003|
Bizarre Inc|Miracle|Surprise|TRAAQOH128F4265CE6|412.473|420.10077|1996|Stafford, England
Bongzilla|Witch Weed (Live)|Apogee|TRAAQPS128F429161D|397.27|397.26975|1999|Madison, Wisconsin
The Gone Jackals|Not Buried Deep Enough|Bone To Pick|TRAAQUC128F9322A82|226.441|229.79873|1995|
The Willis Brothers|Give Me 40 Acres (To Turn This Rig Around)|Strictly Trucking|TRAAQUF12903CDF4A4|144.62|150.64771|0|
Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd|Ernesto Nazareth|Music Of The Brazilian Masters|TRAAQWF128F92D1AAD|271.946|286.14485|0|Sao Paulo, Brazil
S.U.P|The Cube (Live)|To Live Alone|TRAAQYN128F92ED77E|351.01|384.70485|2001|
Boogie Pimps|Get Back Down|PeeBoy EP|TRAAQYU12903CE68CE|372.663|415.03302|0|
Brian Keane|Battle Of The Rosebud / Cries|The Way West|TRAAQZF12903CEDCB8|133.538|133.53751|0|Texas
Aberdeen|Beyond the Light|Suburban|TRAAQZQ128EF35C51A|257.225|266.70975|0|Poza Rica, MX
The Killers|Spaceman|Hitzone 49|TRAARHS128F931689D|267.685|284.3424|2008|
Butterfly Temple|Iskorosten' (instr.)|Za Solntsem Vsled|TRAARSF12903CD1B12|100.597|100.5971|0|
Grant Geissman|Big Stax/High Volts (Album Version)|Time Will Tell|TRAARUN128F932B1A0|303.044|320.60036|0|PEARLINGTON, Mississippi
20/20|It Goes On|4 Day Tornado|TRAASDM12903CD474E|284.595|302.36689|0|
Orbital|Illuminate|The Altogether|TRAASFP128F42980BD|316.447|327.8624|2001|Sevenoaks, United Kingdom
Bone Thugs-N-Harmony / Akon|Never Forget Me|Strength & Loyalty|TRAASGM128EF34DBB0|273.601|286.30159|2007|Cleveland, OH
Moonsorrow|Ukkosenjumalan poika|Kivenkantaja|TRAASIG128F92C3A6B|356.493|356.49261|2001|
N.W.A.|A B***** Is A B***** (Edited)|Straight Outta Compton|TRAASKO128F427CE1C|165.86|168.75057|1989|Compton, California, USA.
Rage Against The Machine|Kick Out The Jams|Live at the Grand Olympic Auditorium|TRAASKQ128F4265E04|201.56|201.56036|2000|Los Angeles, CA
Jazz Gillum|Me And My Buddy|Take One More Chance With Me|TRAASOD128F428154C|178.765|185.67791|0|Indianola, MS
Rise Against|Amber Changing|Revolutions Per Minute|TRAASQC128F93480F0|218.827|218.8273|2003|Chicago
Ultraviolence|Murder Academy|Psycho Drama|TRAASSO12903CDD2FF|292.664|303.04608|1995|
Korn|Hey Daddy|Issues|TRAASUZ128F9314950|214.941|224.522|1999|Bakersfield, CA
Sir Neville Marriner|4 Sea Interludes Op. 33a: Storm|Britten: Orchestral Works|TRAASYO128F4263883|303.45|315.27138|0|
Agnes|I Need You Now|I Need You Now|TRAASZE128F93499AE|271.296|275.06893|0|Sweden
James Horner|Atmosphere Station|Aliens - The Deluxe Edition|TRAATBN128F14ACE82|179.868|191.81669|1986|Los Angeles, CA
Tantric|Walk Away|Mind Control|TRAATGM12903C9CD7C|171.404|177.24036|2009|
Mastodon|Shadows That Move|Call of the Mastodon|TRAATIU128F4291A84|233.586|233.58649|2001|Atlanta, GA
Xcultures|Smile|One World One People|TRAATJK128F9339179|38.347|38.3473|2000|
The Irish Tenors|Mountains Of Mourne|Live From Dublin|TRAATLC12903D0172B|100.858|100.85832|0|
U2|Kite Live from Sydney|Window In The Skies|TRAATMY128F149562F|474.517|485.19791|2007|Dublin, Ireland
Korn|Ever Be|Untitled|TRAATNJ128F42631BA|276.95|288.49587|2007|Bakersfield, CA
